watch time,stream time,peak viewers,average viewers,followers,followers gained,views gained,partnered,mature,top count
1052406585,240660,96236,4188,291660,290372,12607606,TRUE,FALSE,86
1051421430,189150,11559,5462,426889,37665,10532035,TRUE,TRUE,87
1051274025,58770,97838,17262,1280365,1218452,45259796,TRUE,FALSE,88
1040839515,107985,43253,9564,852125,133745,15617768,TRUE,FALSE,89
1037512515,162090,66781,5911,676016,137608,65440868,TRUE,FALSE,90
1036432275,81990,150137,11127,997395,229741,29664080,TRUE,TRUE,91
1027690695,99915,36971,10186,802872,202534,25279536,TRUE,FALSE,92
1008938265,158055,16681,6307,705201,66160,17307045,TRUE,TRUE,93
999997290,243465,47638,4023,905797,116281,28411733,TRUE,FALSE,94
992095155,93105,135471,10933,1545737,402542,16250621,TRUE,TRUE,95
987397605,112785,44758,8654,2890054,1324745,17681921,TRUE,FALSE,96
953285010,125010,71933,7439,483496,376260,20044617,TRUE,FALSE,97
946891575,162570,51854,5355,1327980,556755,27610178,TRUE,FALSE,98
943144365,125325,26479,7317,2649045,150542,20389295,TRUE,FALSE,99
938602095,29385,471281,33016,8341579,1282146,31271621,TRUE,FALSE,100
921184305,118785,16881,7825,535959,97459,16098707,TRUE,FALSE,101
905526645,49620,80266,18207,932268,926671,17319227,TRUE,TRUE,102
905316450,44370,75491,18462,2258380,1882387,31865799,TRUE,FALSE,103
901503390,140565,75466,6167,3814404,1133652,23413102,TRUE,FALSE,104
899691960,48060,146577,18738,537728,301490,33202930,TRUE,FALSE,105
885394170,53925,65543,15394,1403521,804651,24523338,TRUE,FALSE,106
879516660,175185,78741,4807,556497,256066,18111438,TRUE,TRUE,107
868180170,236535,138818,5957,1814756,223896,24193613,TRUE,FALSE,108
860172960,109290,39439,7506,2271307,599978,15442421,TRUE,FALSE,109
859130235,133755,28814,6343,4635951,515928,16988217,TRUE,FALSE,110
849561885,204630,14181,3897,194940,33564,21214248,TRUE,FALSE,111
840137670,120120,26141,7099,979067,832985,19434055,TRUE,TRUE,112
834768165,238215,99858,4991,363399,119411,23820488,TRUE,FALSE,113
833964510,467310,7753,1791,152083,33607,10920969,TRUE,FALSE,114
833785260,168105,54289,4998,441881,143967,22328241,TRUE,TRUE,115
826533045,136335,27421,5829,1311080,351394,15832006,TRUE,FALSE,116
824865915,358965,33245,2235,549218,91055,11762152,TRUE,FALSE,117
798721785,197010,151531,4546,829621,821696,18441675,TRUE,FALSE,118
783858405,79515,115737,9538,346934,220655,25973366,TRUE,FALSE,119
782636835,148785,13080,5185,351192,36374,14184358,TRUE,FALSE,120
757691745,486105,6075,1550,69689,28879,55118276,TRUE,FALSE,121
752337720,90420,41644,7376,1104379,593329,16667621,TRUE,FALSE,122
748464795,148710,17253,4838,328141,46122,17514757,TRUE,FALSE,123
742940895,87945,46106,7767,550800,472976,28880311,TRUE,FALSE,124
738862275,131565,45726,5338,455090,203498,21960904,TRUE,FALSE,125
738188985,313590,7441,2324,87050,25906,18028790,TRUE,TRUE,126
733812195,136440,31874,4884,1551313,1276052,19407713,TRUE,FALSE,127
731764425,61125,65152,11651,1273921,479796,28955062,TRUE,FALSE,128
730305315,186975,39537,3793,528303,191291,15411645,TRUE,FALSE,129
727242510,23820,113167,25165,501371,293579,19837553,TRUE,FALSE,130
725311140,184740,34327,3732,1154352,490009,24393197,TRUE,FALSE,131
723984540,98280,48643,6996,618754,390309,7015568,TRUE,FALSE,132
722237970,220770,84681,3433,389484,71597,17306032,TRUE,FALSE,133
717634035,80520,80444,10202,2132571,1285160,22695224,TRUE,FALSE,134
716666445,105510,26221,6645,810355,186429,9804347,TRUE,FALSE,135
715323690,102675,24000,6832,757410,40976,15019769,TRUE,FALSE,136
713273040,94680,60346,7239,677468,630255,11818352,TRUE,FALSE,137
705150870,146820,23890,4844,197402,120792,12462207,TRUE,FALSE,138
